black,low,hi,data
19.983486795809714,16.57798030471498,23.56466975734102,17.74193548
19.05379698084989,15.09820156791347,22.519874682079696,9.6
18.13823106184475,13.727771057075179,21.421016786489314,9.6069869
17.310101560206927,13.574667491775763,20.917087877958387,11.53846154
16.535254736852124,12.65692874016508,20.45354571034732,6.164383562
15.589174747933276,11.657047825137004,18.97803874264749,10.42471042
14.72942580131711,10.815764261400725,18.84951665552553,5.769230769
14.084079769664955,10.154018695959337,17.11875063734147,8.823529412
13.377914962885221,9.738538362512442,16.535193774627967,3.20855615
12.252981998867897,8.574991372364966,15.727686181673896,5.825242718
11.41008150527152,7.966032833522077,15.044031463093628,5.10805501
10.399971613663606,6.9165392608059015,13.753638459865988,0.0
9.842736182683595,6.633996370067088,13.123350694425323,0.114810563
9.363592358401336,5.952095208438857,12.735099568075984,0.0
8.19057079456733,4.155514122468086,11.499731642814695,0.0
7.586919989273844,3.8822060001970473,10.702016712632288,0.0
6.8810259115002355,3.7498732777611123,9.64332085001576,0.0
5.773168521569452,2.284507628122749,8.877547864557918,0.0
5.18890003940154,0.788258220420025,8.34972126722568,0.0
4.088519797896809,0.2757377618102036,7.606060117548391,0.0
3.5164931008534412,-0.1657779421980667,7.526578313797796,0.0
2.635418909177774,-0.9644425957703754,6.190708121399333,0.0
1.7913316113989126,-1.8449477055990005,5.16738037803315,0.0
0.9154377345394497,-2.9518246846793867,4.5651883248878615,0.0
0.22678377774739145,-3.1812189431553577,3.9356234430387076,0.0
-0.555347120104821,-3.6676126789783163,3.066736123565372,0.0
